"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_nn"
"1",14.9,19.03644445,61.33333333,76.2,"0",15.8110622550304
"2",13.4,21.134,65.02222222,75.2,"1",15.0576807536575
"3",11.6,15.58111111,66.28888889,74.88888889,"2",12.0551545348266
"4",11.9,15.59456522,67.10869565,73.97826087,"3",11.7926852547829
"5",11.1,15.67788889,67.08888889,74,"4",12.2888234931265
"6",13.7,17.30622223,66.88888889,74,"5",13.711171707384
"7",17.7,23.25777778,65.84444444,74,"6",16.3552009825919
"8",30.8,35.168,64.51111111,75.22222222,"7",25.73356551464
"9",12.8,22.62788889,59.2,78.73333333,"8",13.9337672836548
"10",12.1,11.48288889,50.57777778,83.37777778,"9",10.067830157763
"11",11.8,11.94366667,43.2,87.82222222,"10",11.3369415934031
"12",9.4,11.94655556,39.37777778,90.11111111,"11",13.2840510015857
"13",14.1,11.48671875,35.96875,91.96875,"12",13.9629247481524
"14",40.2,37.72466667,32.66666667,94.2,"13",24.7055895394579
"15",20,17.80455556,32.93333333,93.57777778,"14",17.6893907991049
"16",15,13.66377778,42.17777778,87.66666667,"15",17.0403953187163
"17",13.9,11.975,40.04444444,87.4,"16",16.1437064255285
"18",18.8,15.65433334,40.55555556,87.82222222,"17",18.9775688666141
"19",19.2,17.80111112,40.26666667,86.86666667,"18",19.8271990620177
"20",18.9,20.91033334,42.35555556,85.46666667,"19",22.2058870126592
"21",16.1,14.46122223,51.88888889,81.93333333,"20",16.5483966763029
"22",6.9,10.753,61.26666667,78.24444444,"21",12.657438666157
"23",15.5,19.62593024,56.8372093,78.3255814,"22",18.3615946281087
"24",25.3,26.24122223,57.44444444,77.57777778,"23",19.8132305498498
"25",19,23.632,58.11111111,77.82222222,"0",18.4698154712762
"26",13.5,12.99644444,59.33333333,77.28888889,"1",11.5030802570594
"27",11.6,13.85088889,62.04444444,77,"2",11.6102250842958
"28",16.2,17.41333333,63.04444444,76.4,"3",13.1963673446397
"29",15.8,15.684,63.35555556,76.02222222,"4",12.6177724383107
"30",21.3,21.56755556,63.84444444,75.4,"5",16.1118536184703
"31",18.6,30.70288889,66.13333333,75.17777778,"6",19.2545358688538
"32",26.7,38.52733333,64,77.02222222,"7",25.5914307877899
"33",26.9,35.755,58.71111111,80.06666667,"8",20.905506816678
"34",20.6,24.26544445,49.08888889,85.08888889,"9",17.1266752542066
"35",16.5,13.18811111,41.17777778,89.66666667,"10",12.2704901437152
"36",14.1,16.25344445,34.8,93,"11",15.742277899652
"37",16.6,15.83333333,31.71111111,94.93333333,"12",16.4888627206258
"38",13.5,11.64188889,28.02222222,97.88888889,"13",15.5890495102555
"39",19.2,13.93411111,29.31111111,97.6,"14",15.9766933960683
"40",19,18.17022222,30.42222222,95.95555556,"15",19.7685675945402
"41",17.1,15.02077778,28.93333333,96.66666667,"16",19.1468565353326
"42",21.1,15.11644445,30.26666667,95.31111111,"17",19.7375411574175
"43",17.3,16.92488889,47.6,87.68888889,"18",18.8254317247804
"44",19,23.14155556,56.37777778,82.97777778,"19",21.8358016446554
"45",25.4,25.97544445,52.86666667,83,"20",22.8624010949386
"46",19.3,18.62266667,50.55555556,83,"21",18.1524300100363
"47",15.7,18.33377778,53.84444444,81.97777778,"22",18.4970074869826
"48",12.4,16.00177778,54.62222222,81,"23",15.1447708756091
"49",13.8,15.27511364,55.02272727,80.56818182,"0",14.7936709940534
"50",19.1,15.86844444,56.42222222,79.71111111,"1",13.54958619772
"51",11.3,12.61311111,59.08888889,78.64444444,"2",11.2947668023027
"52",15.2,12.59211111,60.84444444,78,"3",11.3774448024168
"53",10.5,10.23711112,60.57777778,78.08888889,"4",10.6130310620773
"54",13.6,13.99144445,62.11111111,77.55555556,"5",12.5906581383638
"55",17.5,24.21722223,64.13333333,77.11111111,"6",17.4079233380409
"56",21.7,29.986,63.06666667,78.04444444,"7",19.5303542032295
"57",21.7,28.78233334,58.86666667,80.02222222,"8",16.5826662921893
"58",23.7,23.24177778,49.42222222,85.4,"9",16.7090990449524
"59",14,22.58411111,47.6,86.33333333,"10",16.7748883070201
"60",17.5,19.94966667,41.33333333,90.33333333,"11",17.5160926710458
"61",13.1,15.37455556,38.64444444,91.46666667,"12",15.8051846101528
"62",15.4,16.29566667,35.13333333,94.24444444,"13",17.1816821312444
"63",20.7,15.20822223,31.71111111,96.2,"14",16.4550565008324
"64",21.7,17.92111111,32.04444444,96.13333333,"15",19.5796654226809
"65",24.8,20.005,32.17777778,95.88888889,"16",21.1770656542888
"66",23.7,19.12022223,34.26666667,93.4,"17",21.670003415213
"67",26.9,30.39622223,36.91111111,91.35555556,"18",26.8774065669789
"68",22.4,25.33944445,40.88888889,88.88888889,"19",25.0179190608405
"69",21.9,18.92688889,47.13333333,85.4,"20",19.75272864546
"70",12.1,16.91133334,55.51111111,81.15555556,"21",16.5810499819882
"71",20.5,21.99188889,57.82222222,81.68888889,"22",19.9165882483264
"72",17.8,16.78611111,55.22222222,82.28888889,"23",15.7178466527385
"73",16.2,16.58966667,54.77777778,81.42222222,"0",15.6253907585145
"74",12.5,13.48188889,58.95555556,80.2,"1",12.0946600083493
"75",12.3,12.95066667,61.04444444,78.84444444,"2",11.3397041159523
"76",11.4,13.21277778,61.55555556,78.11111111,"3",11.6217081269669
"77",11.4,12.43930233,63.62790698,77.72093023,"4",11.3751068471166
"78",13.1,17.01207318,64.92682927,77,"5",14.0039308838724
"79",14.7,22.23033334,64.53333333,77.24444444,"6",16.4666212150462
"80",17.4,31.37244445,64.22222222,78.15555556,"7",20.8691582628562
