"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","RF"
"1",14.9,19.03644445,61.33333333,76.2,"0",14.3185
"2",13.4,21.134,65.02222222,75.2,"1",15.034
"3",11.6,15.58111111,66.28888889,74.88888889,"2",13.1535
"4",11.9,15.59456522,67.10869565,73.97826087,"3",11.997
"5",11.1,15.67788889,67.08888889,74,"4",11.6885
"6",13.7,17.30622223,66.88888889,74,"5",12.9995
"7",17.7,23.25777778,65.84444444,74,"6",16.7065
"8",30.8,35.168,64.51111111,75.22222222,"7",24.808
"9",12.8,22.62788889,59.2,78.73333333,"8",13.742
"10",12.1,11.48288889,50.57777778,83.37777778,"9",11.854
"11",11.8,11.94366667,43.2,87.82222222,"10",13.814
"12",9.4,11.94655556,39.37777778,90.11111111,"11",11.653
"13",14.1,11.48671875,35.96875,91.96875,"12",14.11
"14",40.2,37.72466667,32.66666667,94.2,"13",34.4295
"15",20,17.80455556,32.93333333,93.57777778,"14",16.769
"16",15,13.66377778,42.17777778,87.66666667,"15",14.8975
"17",13.9,11.975,40.04444444,87.4,"16",14.7945
"18",18.8,15.65433334,40.55555556,87.82222222,"17",17.9015
"19",19.2,17.80111112,40.26666667,86.86666667,"18",19.9455
"20",18.9,20.91033334,42.35555556,85.46666667,"19",19.4935
"21",16.1,14.46122223,51.88888889,81.93333333,"20",12.9395
"22",6.9,10.753,61.26666667,78.24444444,"21",9.315
"23",15.5,19.62593024,56.8372093,78.3255814,"22",15.9355
"24",25.3,26.24122223,57.44444444,77.57777778,"23",23.37
"25",19,23.632,58.11111111,77.82222222,"0",17.5395
"26",13.5,12.99644444,59.33333333,77.28888889,"1",12.3965
"27",11.6,13.85088889,62.04444444,77,"2",11.9905
"28",16.2,17.41333333,63.04444444,76.4,"3",14.3405
"29",15.8,15.684,63.35555556,76.02222222,"4",14.7835
"30",21.3,21.56755556,63.84444444,75.4,"5",18.2525
"31",18.6,30.70288889,66.13333333,75.17777778,"6",18.769
"32",26.7,38.52733333,64,77.02222222,"7",25.6975
"33",26.9,35.755,58.71111111,80.06666667,"8",22.787
"34",20.6,24.26544445,49.08888889,85.08888889,"9",19.9
"35",16.5,13.18811111,41.17777778,89.66666667,"10",14.8715
