"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_dl","cvpreds","h2o_dl_m"
"1",14.9,19.03644445,61.33333333,76.2,"0",11.9628769626328,13.450283511131,15.1975848700026
"2",13.4,21.13733333,65.02222222,75.2,"1",10.6316132666728,13.3472621109713,15.4124218140327
"3",11.6,15.58111111,66.28888889,74.88888889,"2",8.25102795097385,9.63811701534983,12.4343790343699
"4",11.9,15.59456522,67.10869565,73.97826087,"3",7.47609140566846,10.6649457058825,12.549587378693
"5",11.1,15.67788889,67.08888889,74,"4",9.1894444607236,10.7478241392634,12.7900959676356
"6",13.7,17.30955556,66.88888889,74,"5",9.81059456501486,11.6673715010862,14.0992764731916
"7",17.7,23.30955556,65.84444444,74,"6",13.3539389490175,18.5641107221702,16.018313973929
"8",30.8,39.21311112,64.51111111,75.22222222,"7",21.6227111873264,22.644092100744,21.0798058986635
"9",12.8,23.60955556,59.2,78.73333333,"8",12.7005604777242,12.9545942432274,15.5142248827999
"10",12.1,11.48288889,50.57777778,83.37777778,"9",3.4357597418045,9.27218797916845,9.4456700823103
"11",11.8,11.94366667,43.2,87.82222222,"10",4.15845037839119,9.57243073214666,11.306446450568
"12",9.4,11.94655556,39.37777778,90.11111111,"11",7.15032354987549,10.8326429219837,12.8993136075923
"13",14.1,11.48703125,35.96875,91.96875,"12",8.49230188954481,8.17710790129616,12.3249312616888
"14",40.2,51.57322222,32.66666667,94.2,"13",33.39914692191,30.2795058757526,32.5053352350398
"15",20,18.87511111,32.93333333,93.57777778,"14",13.8336309444608,16.3395860781127,17.2697299719342
"16",15,13.85688889,42.17777778,87.66666667,"15",10.5946987864253,14.3628750481546,15.6043264812117
"17",13.9,11.98388889,40.04444444,87.4,"16",11.2531487826812,13.3399490764039,14.7853663562049
"18",18.8,15.65433334,40.55555556,87.82222222,"17",13.9776322786073,15.9383746783764,17.9329418545355
"19",19.2,17.80233334,40.26666667,86.86666667,"18",14.4520518119644,16.8766930665024,17.8473877700996
"20",18.9,20.91266667,42.35555556,85.46666667,"19",19.2037802520411,18.0893798008145,18.8094209148717
"21",16.1,14.502,51.88888889,81.93333333,"20",12.8121297741263,14.2139791623912,15.0072174270632
"22",6.9,10.753,61.26666667,78.24444444,"21",10.4104062927079,10.7908090216251,11.3343144063686
"23",15.5,19.73465116,56.8372093,78.3255814,"22",13.8360088791054,16.4728278017617,17.1828254433741
"24",25.3,26.61411111,57.44444444,77.57777778,"23",18.0314285394313,17.7053349416594,17.6475213206056
"25",19,23.77933334,58.11111111,77.82222222,"0",15.5103343473261,16.5888203531478,17.0801723028276
"26",13.5,12.99644444,59.33333333,77.28888889,"1",5.31659498980353,10.8728121199973,12.4075733230141
"27",11.6,13.85088889,62.04444444,77,"2",6.98028055601221,9.24566583547937,11.8112252197504
"28",16.2,17.41511111,63.04444444,76.4,"3",8.92052532328029,11.9364822858556,13.8853442205232
"29",15.8,15.684,63.35555556,76.02222222,"4",9.4530355065369,12.4066049215639,13.2577479115163
"30",21.3,21.61355556,63.84444444,75.4,"5",13.1400999036546,15.3517548782057,16.2861772957108
"31",18.6,33.01366667,66.13333333,75.17777778,"6",18.6648209351945,19.1360170136054,18.1451622948774
"32",26.7,45.19522222,64,77.02222222,"7",25.1774718025531,23.6177249204634,24.3658223771285
"33",26.9,40.26933334,58.71111111,80.06666667,"8",21.5041691446157,21.4299721220017,20.3816381268189
"34",20.6,25.36388889,49.08888889,85.08888889,"9",13.6992377206655,17.3975732262843,16.7886196851328
"35",16.5,13.18811111,41.17777778,89.66666667,"10",5.42673083181953,9.89850964769996,12.2774860310499
"36",14.1,16.58577778,34.8,93,"11",10.5051961152928,14.3000340905728,16.0293531372511
"37",16.6,15.94833333,31.71111111,94.93333333,"12",12.2870591086362,13.4693435907159,14.5588970893305
"38",13.5,11.64188889,28.02222222,97.88888889,"13",10.0228519629497,11.7947626282844,13.0215052143634
"39",19.2,13.93411111,29.31111111,97.6,"14",11.2508644403087,13.884098542808,13.9611992761155
"40",19,18.194,30.42222222,95.95555556,"15",14.8242479271684,16.9756612633328,17.4847693920113
"41",17.1,15.02077778,28.93333333,96.66666667,"16",15.4060729299738,13.8080174578217,15.4656261621433
"42",21.1,15.22811112,30.26666667,95.31111111,"17",14.4047070643681,16.4168228243674,17.1407012312015
"43",17.3,17.11233334,47.6,87.68888889,"18",15.3322624209699,16.5771663354055,17.6715836740769
"44",19,23.19033334,56.37777778,82.97777778,"19",19.7948472095276,18.12634084546,18.4794237078527
"45",25.4,26.26133333,52.86666667,83,"20",20.999415901721,19.221393891172,19.7085347912992
"46",19.3,18.62266667,50.55555556,83,"21",15.9562572653297,16.3073842718158,16.8862123791668
"47",15.7,18.34944445,53.84444444,81.97777778,"22",13.5776784023318,15.8615432166356,17.1066229853314
"48",12.4,16.00177778,54.62222222,81,"23",11.8661345511717,13.6122022714831,15.0589489581251
"49",13.8,15.27818182,55.02272727,80.56818182,"0",10.7746148326113,13.0578395624925,14.1587861608965
"50",19.1,15.86844444,56.42222222,79.71111111,"1",7.8697599655261,11.6157689608933,14.3316590118777
"51",11.3,12.61311111,59.08888889,78.64444444,"2",6.089509457328,10.2169324344245,11.3869717634944
"52",15.2,12.59722222,60.84444444,78,"3",6.17596190935262,9.96770689095388,11.4762947825564
"53",10.5,10.23711112,60.57777778,78.08888889,"4",6.20862809629216,8.30900676765985,10.3169258991681
"54",13.6,13.99144445,62.11111111,77.55555556,"5",8.40399110911545,10.9672111825411,12.7566627206189
