"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_rf","cvpreds","h2o_rf_m"
"1",14.9,19.03644445,61.33333333,76.2,"0",14.3750646853447,14.0078689491749,14.1973305416107
"2",13.4,21.134,65.02222222,75.2,"1",14.5037847876549,15.202573223114,14.623065469265
"3",11.6,15.58111111,66.28888889,74.88888889,"2",12.2854165256023,12.5166636300087,12.3686344051361
"4",11.9,15.59456522,67.10869565,73.97826087,"3",12.2804211378098,12.6377615427971,12.3054651212692
"5",11.1,15.67788889,67.08888889,74,"4",12.1965912389755,12.850764503479,12.398499546051
"6",13.7,17.30622223,66.88888889,74,"5",12.4258159410954,12.3495643353462,12.5892481994629
"7",17.7,23.25777778,65.84444444,74,"6",15.7432781004906,14.8221989202499,15.4334452009201
"8",30.8,35.168,64.51111111,75.22222222,"7",21.2483269071579,19.2480188536644,20.7515285420418
"9",12.8,22.62788889,59.2,78.73333333,"8",14.2765268671513,14.1736030948162,13.6259064877033
"10",12.1,11.48288889,50.57777778,83.37777778,"9",10.164209022522,10.8122149848938,10.7619867444038
"11",11.8,11.94366667,43.2,87.82222222,"10",12.5234187936783,12.4171937847137,13.2496685278416
"12",9.4,11.94655556,39.37777778,90.11111111,"11",12.7197509002686,13.5904068922997,13.2110181879997
"13",14.1,11.48671875,35.96875,91.96875,"12",12.5346592307091,13.0549728608131,13.428704726696
"14",40.2,37.72466667,32.66666667,94.2,"13",29.641902384758,28.7848556423187,30.1592209911346
"15",20,17.80455556,32.93333333,93.57777778,"14",13.6242982935905,14.4570925402641,15.4024665355682
"16",15,13.66377778,42.17777778,87.66666667,"15",14.7536525583267,14.7586866688728,14.9642217707634
"17",13.9,11.975,40.04444444,87.4,"16",14.7139715671539,15.1394420623779,15.2483408761024
"18",18.8,15.65433334,40.55555556,87.82222222,"17",18.3437175130844,18.0855611371994,18.1331009864807
"19",19.2,17.80111112,40.26666667,86.86666667,"18",18.6675429439545,19.0016658496857,19.1986843681335
"20",18.9,20.91033334,42.35555556,85.46666667,"19",20.8837711906433,20.1687120318413,20.0543259096146
"21",16.1,14.46122223,51.88888889,81.93333333,"20",14.233437936306,13.7747834324837,14.5794665622711
"22",6.9,10.753,61.26666667,78.24444444,"21",8.77899107038975,9.21329659819603,8.70340315461159
"23",15.5,19.62593024,56.8372093,78.3255814,"22",15.4950166320801,16.5314425301552,16.4271989798546
"24",25.3,26.24122223,57.44444444,77.57777778,"23",18.3525016093254,19.6043135261536,20.8922649645805
"25",19,23.632,58.11111111,77.82222222,"0",18.0193702173233,18.2524506640434,18.258949341774
"26",13.5,12.99644444,59.33333333,77.28888889,"1",11.8005520939827,11.5441334068775,12.2077569770813
