"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_rf","cvpreds","h2o_rf_m"
"1",14.9,19.03644445,61.33333333,76.2,"0",14.3438815891743,14.270499548912,14.2286403369904
"2",13.4,21.13733333,65.02222222,75.2,"1",14.4842111706734,14.5652152991295,14.672728292942
"3",11.6,15.58111111,66.28888889,74.88888889,"2",12.4057147049904,12.6064288043976,12.4188999760151
"4",11.9,15.59456522,67.10869565,73.97826087,"3",12.354366774559,12.3535899496078,12.3177510261536
"5",11.1,15.67788889,67.08888889,74,"4",12.2043634605408,12.6156157243252,12.345362906456
"6",13.7,17.30955556,66.88888889,74,"5",12.3234734141827,12.2532801365852,12.7153608202934
"7",17.7,23.30955556,65.84444444,74,"6",15.3268528866768,14.6801736855507,15.094912981987
"8",30.8,39.21311112,64.51111111,75.22222222,"7",21.5736897706985,19.1549066376686,21.3146501874924
"9",12.8,23.60955556,59.2,78.73333333,"8",14.5451327300072,14.5160158550739,14.4791728508472
"10",12.1,11.48288889,50.57777778,83.37777778,"9",10.1580992424488,10.1109876072407,10.6614888560772
"11",11.8,11.94366667,43.2,87.82222222,"10",12.2600577259064,13.583852314949,13.1144877445698
"12",9.4,11.94655556,39.37777778,90.11111111,"11",12.7147529315948,13.5659181141853,13.2743256139755
"13",14.1,11.48703125,35.96875,91.96875,"12",12.3538332355022,13.0997860383987,13.4261371803284
"14",40.2,51.57322222,32.66666667,94.2,"13",35.1132379722595,30.4645286607742,32.1540017652512
"15",20,18.87511111,32.93333333,93.57777778,"14",13.8105920982361,14.9346894693375,15.5362486886978
"16",15,13.85688889,42.17777778,87.66666667,"15",14.7983105611801,15.0173230290413,14.9655240893364
"17",13.9,11.98388889,40.04444444,87.4,"16",14.6401897335052,15.309472322464,15.2452185416222
"18",18.8,15.65433334,40.55555556,87.82222222,"17",18.6396220993996,17.5433109283447,18.385335559845
"19",19.2,17.80233334,40.26666667,86.86666667,"18",16.9026408433914,18.660868639946,18.6132294440269
"20",18.9,20.91266667,42.35555556,85.46666667,"19",20.961286714077,20.9133264064789,20.2743424415588
"21",16.1,14.502,51.88888889,81.93333333,"20",14.1051725530624,13.9265828680992,14.6018994021416
"22",6.9,10.753,61.26666667,78.24444444,"21",8.71473929047585,9.15046243071556,8.82392731189728
"23",15.5,19.73465116,56.8372093,78.3255814,"22",15.686591398716,16.8582652163506,16.5404213571548
"24",25.3,26.61411111,57.44444444,77.57777778,"23",18.6055190253258,19.3387800478935,20.3531195116043
"25",19,23.77933334,58.11111111,77.82222222,"0",17.4983155441284,17.5887776148319,17.7298514914513
"26",13.5,12.99644444,59.33333333,77.28888889,"1",11.9480803871155,11.8708981895447,12.258996989727
"27",11.6,13.85088889,62.04444444,77,"2",11.6216890406609,11.0209503567219,11.3823866152763
"28",16.2,17.41511111,63.04444444,76.4,"3",13.5887371110916,13.3318505954742,13.4995640456676
"29",15.8,15.684,63.35555556,76.02222222,"4",13.1977492189407,12.8617293739319,13.4554811382294
"30",21.3,21.61355556,63.84444444,75.4,"5",14.9159055900574,15.1173466157913,15.6580249285698
"31",18.6,33.01366667,66.13333333,75.17777778,"6",20.5109569096565,19.9061821126938,19.792652592659
"32",26.7,45.19522222,64,77.02222222,"7",24.4294667053223,24.4279026508331,24.5859359121323
"33",26.9,40.26933334,58.71111111,80.06666667,"8",22.5639845371246,21.1082173967361,21.4082077980041
"34",20.6,25.36388889,49.08888889,85.08888889,"9",16.6859954309463,15.9455779004097,15.995461564064
"35",16.5,13.18811111,41.17777778,89.66666667,"10",13.1389390444756,13.1529806995392,13.6402202486992
"36",14.1,16.58577778,34.8,93,"11",13.7700726437569,14.7111451172829,13.891598482132
"37",16.6,15.94833333,31.71111111,94.93333333,"12",13.5286527252197,13.5659803032875,14.0244125676155
"38",13.5,11.64188889,28.02222222,97.88888889,"13",11.6761935555935,11.2301330602169,11.4990520870686
"39",19.2,13.93411111,29.31111111,97.6,"14",13.7807448983192,13.5464246439934,13.8596702718735
"40",19,18.194,30.42222222,95.95555556,"15",15.4862696480751,15.4220732355118,16.304628367424
"41",17.1,15.02077778,28.93333333,96.66666667,"16",14.9877678775787,14.7931091380119,15.2185927653313
"42",21.1,15.22811112,30.26666667,95.31111111,"17",16.7377889823914,16.3694489264488,17.0026908946037
"43",17.3,17.11233334,47.6,87.68888889,"18",16.8346425294876,18.6018896055222,18.2895416426659
"44",19,23.19033334,56.37777778,82.97777778,"19",21.5892557382584,20.7592991185188,20.420421705246
"45",25.4,26.26133333,52.86666667,83,"20",22.5912642049789,22.4507298374176,23.2976322984695
"46",19.3,18.62266667,50.55555556,83,"21",17.8839349603653,18.3995048165321,18.4961185932159
"47",15.7,18.34944445,53.84444444,81.97777778,"22",15.7555071687698,16.96148686409,17.0585083603859
"48",12.4,16.00177778,54.62222222,81,"23",13.6627280902863,14.01044962883,14.0870175337791
"49",13.8,15.27818182,55.02272727,80.56818182,"0",12.5702434158325,12.3928035867214,12.4796885001659
"50",19.1,15.86844444,56.42222222,79.71111111,"1",14.5269299840927,13.5942975223064,14.7230145406723
"51",11.3,12.61311111,59.08888889,78.64444444,"2",10.6561289811134,11.3410577023029,11.423429980278
"52",15.2,12.59722222,60.84444444,78,"3",11.8407170188427,11.2472494912148,11.9205674910545
"53",10.5,10.23711112,60.57777778,78.08888889,"4",7.67571409285069,8.18608866393566,9.22675054788589
"54",13.6,13.99144445,62.11111111,77.55555556,"5",13.2523924386501,12.8236528980732,12.5562305784225
"55",17.5,24.51411111,64.13333333,77.11111111,"6",16.2354891514778,16.6678997731209,16.7500623416901
"56",21.7,31.13755556,63.06666667,78.04444444,"7",19.4866604614258,18.7211527514458,18.8332550930977
"57",21.7,29.54111111,58.86666667,80.02222222,"8",20.0687976193428,17.8694587147236,18.8955580914021
"58",23.7,23.49422223,49.42222222,85.4,"9",16.621787173748,15.2909022569656,16.0172199225426
"59",14,22.62955556,47.6,86.33333333,"10",15.8350393795967,15.7558904099464,15.6723367786407
