"","BAM","PA_CF_1","PA_CF_ATM","PA_RH","PA_Temp","hour","Predicted_Corrected_1_pred"
"1",21.1,19.69733333,19.69166667,56.75555556,80.6,"23",15.6108544968338
"2",17.3,16.56894444,16.55883333,60.17777778,79.76666667,"0",13.3791654125201
"3",15.5,17.05072222,17.05072222,62.44444445,79,"1",13.3509510436387
"4",14.8,15.29288889,15.29288889,62.94444445,78.36666667,"2",12.053208178819
"5",14,16.84122222,16.84122222,62.82222222,78.01111111,"3",12.8416783507539
"6",17.7,17.0915,17.091,62.5,78.02222222,"4",12.9818437825813
"7",25.1,21.01116667,20.92888889,62.48888889,78.02222223,"5",14.9021948551303
"8",32.9,45.5975,38.21005555,62.58888889,78.24444445,"6",24.5764214366886
"9",25.8,37.58061111,33.99916667,60.92222222,78.95555556,"7",20.856148376242
"10",24.3,29.07811111,27.91866667,56.52222222,80.92222222,"8",18.8919021948483
"11",20.1,16.56072222,16.56072222,50.78888889,83.45555556,"9",15.122444191062
"12",25.6,17.28655556,17.28138889,45.1,86.44444445,"10",16.0363832275802
"13",20.3,16.21894444,16.21761111,39.21111111,89.98888889,"11",16.3145121301119
"14",23.5,17.80227778,17.79772222,35.3,92.75555556,"12",17.6768832328658
"15",21.2,13.79888889,13.79872222,33.71111112,93.61111111,"13",15.3476522896816
"16",26.7,15.48161111,15.48161111,33.53333333,93.31111111,"14",16.6454664291984
"17",25.5,13.90967442,13.82395607,38.75503876,91.01524548,"15",14.7599498167103
"18",9.4,16.70205556,16.65433333,54.68888889,83.32222222,"16",14.3577391962454
"19",20.4,24.28827778,23.63938889,55.23333334,83.63333334,"17",17.5162794797122
"20",17.4,26.50833334,25.55022222,58.78888889,81.86666667,"18",17.9262927401589
"21",19.7,24.61466667,24.52205556,62.04444445,80,"19",16.9222303619029
"22",21.2,20.45483333,20.44683333,62.63333334,79.41111112,"20",15.2087969852949
"23",15,22.35777778,22.29888889,63.22222223,79.13333334,"21",15.8969343192477
"24",16.2,17.60122222,17.60111111,62.96666667,79,"22",13.6720974371242
"25",15.4,14.03633333,14.03633333,61.53333334,78.34444444,"23",11.202051234664
"26",14.6,12.442,12.442,61.94444445,78.01111111,"0",9.94329450805857
"27",11.9,12.05261111,12.05261111,63.54444444,77.65555556,"1",9.5512030245366
"28",10.4,10.81422222,10.81422222,64.41111112,77,"2",8.39893042750346
"29",10.6,12.67805556,12.67805556,64.48888889,77.22222222,"3",9.87427953332626
"30",11,11.56566667,11.56566667,64.43333333,77.24444445,"4",9.07090225500529
"31",11.9,15.36416667,15.36416667,65.4,76.75555556,"5",11.5670508747691
"32",14.8,22.68038889,22.66066667,65.5,76.63333334,"6",15.1292159286982
"33",15.7,24.54644445,24.46061111,64.05555556,77.35555556,"7",15.9612213083427
"34",17.7,24.71994445,24.65566667,60.52222222,79.3,"8",16.7664887670122
"35",23.6,20.14844445,20.12305556,55.94444445,81.5,"9",16.0672108768705
"36",18.7,20.28227778,20.27516667,49.57777778,85.01111111,"10",16.8410231008166
"37",24.2,18.009,18.00827778,43.95555556,87.91111111,"11",16.3313946977317
"38",25,17.76483333,17.76433333,41.75555556,88.45555556,"12",16.7217964696916
"39",23.9,16.17480808,16.17480808,37.95429293,90.46565657,"13",16.5780274739233
"40",22.9,15.79017046,15.79017046,36.125,91.27272728,"14",16.7243523680616
"41",25,18.63644444,18.6345,36.74444445,90.92222222,"15",18.2180809177181
"42",26.6,20.93788889,20.68233333,44.28888889,88.32222222,"16",17.5283039876555
"43",16.5,16.22427778,15.88438889,43.52222222,87.03333334,"17",15.6824236129567
"44",21.4,19.18722222,19.16672222,46.84444445,85.41111111,"18",16.913859377741
"45",20.7,23.55655556,23.51116667,53.1,83.56666667,"19",17.7322677035736
"46",18,22.97583334,22.94438889,56.58888889,81.74444445,"20",17.0941357057616
"47",23.6,22.2848245,22.27149621,57.37777778,81.09090909,"21",16.6778756136176
"48",15.7,21.54788889,21.52272222,58.33333334,80.61111111,"22",16.1941939335973
"49",17.1,18.8215,18.79916667,59.68888889,79.98888889,"23",14.7005495264738
"50",19.3,19.9615,19.35505556,59.75555556,79.57777778,"0",15.1137668814331
"51",16.6,15.5035,15.5035,60.55555556,78.88888889,"1",12.4070744498078
"52",14.2,13.72888889,13.72888889,61.37777778,78.18888889,"2",10.92988714703
"53",14.8,13.49405556,13.49405556,62.01111112,77.8,"3",10.5971950931948
"54",16.3,14.15427778,14.15427778,63.5,77,"4",10.7344611821015
"55",15.2,18.07605555,17.96233333,63.68888889,77,"5",13.1162054349134
"56",18,23.82327778,23.39116667,62.86666667,77.12222222,"6",15.560974319097
"57",18.2,23.98282071,23.92218056,59.89974748,77.75782828,"7",15.9485585193014
"58",18,23.63938889,23.61316667,55.28888889,80.05555556,"8",17.2953226051835
"59",21.8,20.743,20.68444445,47.36666667,84.13333334,"9",17.9331011545298
"60",19.1,18.89319823,18.89192046,42.73838384,86.7780303,"10",17.4551779522373
"61",22.4,18.67788889,18.67788889,38.74444445,89.82222222,"11",17.8453304545854
"62",15.9,15.91691162,15.91691162,36.53308081,91.70732324,"12",16.561037044521
"63",17.9,14.83611111,14.83611111,34.78888889,92.91111111,"13",16.0024047538905
"64",18,15.61516667,15.61516667,32.17777778,94.86666667,"14",16.4339790897367
"65",15.8,16.03114614,15.99452415,33.2620773,92.81714976,"15",17.2767887912299
"66",22.5,17.16622661,17.15691375,32.27163743,92.39561404,"16",18.4179934394531
"67",21.1,16.37275,16.37225,34.08095238,91.92539683,"17",17.5352822842494
"68",14.6,14.67422223,14.67422223,39.71111111,87.68888889,"18",15.6469192103307
"69",20.3,20.65033334,19.97372222,44.31111111,85.35555556,"19",18.3137867050747
"70",16.2,13.80209722,13.80209722,46.06666667,83.37777778,"20",14.6265652053517
"71",18.1,13.2835,13.2835,48.44444445,81.53333334,"21",13.8057325330806
"72",14.8,14.25611111,14.19322222,51.82222222,80.52222223,"22",13.4860237220177
"73",16.4,11.59538889,11.59538889,52.02222223,79.82222222,"23",11.376914014768
"74",12.4,11.41483333,11.41483333,54.24444445,78.97777778,"0",10.4645511167858
"75",10,12.56594444,12.56594444,55.88888889,78.15555556,"1",10.6615410824123
"76",10.1,11.97994445,11.97994445,57.93333334,77.27777778,"2",9.54507994987578
"77",13.2,12.62266667,12.62266667,59.46666667,77,"3",9.72587965632282
"78",7.3,12.50861111,12.50861111,61.68888889,76.25555556,"4",9.1996773471539
"79",10.8,14.81344444,14.81344444,63.26666667,76,"5",10.6932290862149
"80",16.2,34.67983333,30.34994445,63.93333333,76.22222222,"6",18.5519709181378
"81",19.5,32.97144445,31.23822222,60.7,77.97777778,"7",18.7036884989552
"82",19.3,26.99484541,26.3212814,55.46835749,80.97608696,"8",18.4876494803672
"83",12.6,13.02627778,13.02627778,46.7,84.97777778,"9",13.4018189968579
"84",16.5,17.27312145,16.78008398,45.04082687,85.70697675,"10",16.3088582112515
"85",15,11.39266667,11.39266667,41.56666667,87.96666667,"11",12.7165537850211
"86",16.9,9.266718435,9.266718435,33.17272728,93.63888889,"12",12.1755729629981
"87",18.6,11.02767342,11.02767342,32.5,93.39722223,"13",13.8358308769393
"88",8.8,7.640757576,7.640757576,31.18914142,94.84393939,"14",10.9813165770773
"89",11.4,6.266555556,6.266555556,30.44444445,94.71111111,"15",10.2115233895041
"90",12.7,8.083491453,8.083491453,32.00598291,93.80512821,"16",11.5584023762828
"91",15,10.02875,10.02875,37.72727273,89.13636364,"17",12.6022679062903
"92",16.2,12.93877778,12.93877778,40.66666667,86.95555556,"18",14.3800472670709
"93",18.9,14.10266667,14.10266667,45.04444444,84.48888889,"19",14.7854223606035
"94",18.5,15.29144445,15.28044445,47.4,82.8,"20",15.360941738598
"95",16.2,14.91888889,14.91888889,50.68888889,81.28888889,"21",14.3164316934076
"96",20,25.17238384,24.25626263,53.22727273,80.15909091,"22",18.2384221866465
"97",15.1,17.83422222,17.82955556,55.08888889,79.42222222,"23",14.6456185126412
"98",14.1,13.67477778,13.66277778,56.33333333,78.48888889,"0",11.5036664357408
"99",14.7,12.10011111,12.10011111,58.35555556,77.93333333,"1",9.86999104618685
"100",13.5,12.95166667,12.95166667,60.57777778,77.24444444,"2",10.0012357247366
"101",7.1,10.92811111,10.92811111,63.97777778,76.08888889,"3",8.0275353276735
"102",12.1,13.40922222,13.40922222,65.73333333,75.31111111,"4",9.60612319785169
"103",14.9,16.58433334,16.57744445,66.88888889,75,"5",11.6453217930066
"104",20.5,29.26788889,28.23044445,66.51111111,75.53333333,"6",16.7416944673722
"105",20.3,33.80533334,31.91122223,65.2,76.64444444,"7",18.5415637209539
"106",15.3,23.67288889,23.47888889,60.86666667,79.04444444,"8",16.3196497769544
"107",13.4,13.03172464,13.03072464,51.36956522,83.10869565,"9",12.7590560402164
"108",9.7,10.35688889,10.35688889,47.33333333,85.22222222,"10",11.1769254927975
"109",17.3,10.92455556,10.92344445,43.06666667,87.77777778,"11",11.9730573592889
"110",10.1,11.42211111,11.42211111,43.8,87.57777778,"12",12.1820716955965
"111",17.3,14.40602273,14.39977273,43.22727273,88.34090909,"13",14.2782686203215
"112",7.4,19.59211111,19.54444445,65.44444444,78.88888889,"18",14.8202990199553
"113",21.7,20.22511111,20.20777778,66.04444444,77.26666667,"19",14.4958016879162
"114",17.5,20.34,20.31033334,64.73333333,77.2,"20",14.3774516923063
"115",14.1,11.06943182,11.06943182,63.40909091,77.06818182,"21",8.55651659885034
"116",9,9.606555556,9.606555556,64.26666667,77,"22",7.47155628878139
"117",13.6,12.80066667,12.80066667,65.04444444,77.24444444,"23",10.021511633991
"118",10.7,11.48122223,11.48122223,65.4,76.35555556,"0",8.68993074958254
"119",9.1,7.129888889,7.129888889,66.73333333,75.02222222,"1",4.86592179347783
