"","BAM","PA_CF_1","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_1_pred"
"1",14.9,19.03644445,61.33333333,76.2,8.051233333,"0",14.1982344617006
"2",13.4,21.13733333,65.02222222,75.2,6.82065,"1",14.1819170430004
"3",11.6,15.58111111,66.28888889,74.88888889,4.232183333,"2",10.0857537349367
"4",11.9,15.59456522,67.10869565,73.97826087,5.639483333,"3",11.0737563921703
"5",11.1,15.67788889,67.08888889,74,5.602983333,"4",11.0915333004071
"6",13.7,17.30955556,66.88888889,74,6.3633,"5",12.1283133253509
"7",17.7,23.30955556,65.84444444,74,8.195266667,"6",15.3355819226853
"8",30.8,39.21311112,64.51111111,75.22222222,13.3485,"7",24.9495293024853
"9",12.8,23.60955556,59.2,78.73333333,7.829745455,"8",16.8139202084047
"10",12.1,11.48288889,50.57777778,83.37777778,4.710716667,"9",12.2882358317425
"11",11.8,11.94366667,43.2,87.82222222,4.520833333,"10",13.3743583681954
"12",9.4,11.94655556,39.37777778,90.11111111,4.6021,"11",14.0300911490088
"13",14.1,11.48703125,35.96875,91.96875,5.70545,"12",15.2737296090782
"14",40.2,51.57322222,32.66666667,94.2,10.01291379,"13",34.53236291901
"15",20,18.87511111,32.93333333,93.57777778,1.942152542,"14",14.7578906774392
"16",15,13.85688889,42.17777778,87.66666667,1.576633333,"15",10.9546646850682
"17",13.9,11.98388889,40.04444444,87.4,1.67365,"16",11.1592162250484
"18",18.8,15.65433334,40.55555556,87.82222222,2.262183333,"17",13.0685972907148
"19",19.2,17.80233334,40.26666667,86.86666667,2.439983333,"18",14.6037936000061
"20",18.9,20.91266667,42.35555556,85.46666667,4.133714286,"19",17.6981105824589
"21",16.1,14.502,51.88888889,81.93333333,2.857416667,"20",11.0725218596368
"22",6.9,10.753,61.26666667,78.24444444,1.545133333,"21",5.85925300973759
"23",15.5,19.73465116,56.8372093,78.3255814,6.712333333,"22",14.9703703274878
"24",25.3,26.61411111,57.44444444,77.57777778,14.74546667,"23",21.6203388129224
"25",19,23.77933334,58.11111111,77.82222222,8.931533333,"0",17.3761449557239
"26",13.5,12.99644444,59.33333333,77.28888889,2.397516667,"1",7.70645339183912
"27",11.6,13.85088889,62.04444444,77,4.508433333,"2",10.3658181332875
"28",16.2,17.41511111,63.04444444,76.4,7.45875,"3",13.2432099451909
