"","BAM","PA_CF_ATM","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_ATM_pred"
"1",14.9,19.03644445,61.33333333,76.2,8.051233333,0,14.416706005605
"2",13.4,21.134,65.02222222,75.2,6.82065,1,14.5347603818315
"3",11.6,15.58111111,66.28888889,74.88888889,4.232183333,2,10.1313330571825
"4",11.9,15.59456522,67.10869565,73.97826087,5.639483333,3,11.1669747184545
"5",11.1,15.67788889,67.08888889,74,5.602983333,4,11.1888443991224
"6",13.7,17.30622223,66.88888889,74,6.3633,5,12.3175785935938
"7",17.7,23.25777778,65.84444444,74,8.195266667,6,15.6540706747377
"8",30.8,35.168,64.51111111,75.22222222,13.3485,7,24.7054043741456
"9",12.8,22.62788889,59.2,78.73333333,7.829745455,8,16.7676257016911
"10",12.1,11.48288889,50.57777778,83.37777778,4.710716667,9,12.1885623523922
"11",11.8,11.94366667,43.2,87.82222222,4.520833333,10,13.2214612345232
"12",9.4,11.94655556,39.37777778,90.11111111,4.6021,11,13.9025148698962
"13",14.1,11.48671875,35.96875,91.96875,5.70545,12,15.1848484441967
"14",40.2,37.72466667,32.66666667,94.2,10.01291379,13,30.6990973368716
"15",20,17.80455556,32.93333333,93.57777778,1.942152542,14,14.5103430494327
"16",15,13.66377778,42.17777778,87.66666667,1.576633333,15,10.7901258585121
"17",13.9,11.975,40.04444444,87.4,1.67365,16,10.975062917814
"18",18.8,15.65433334,40.55555556,87.82222222,2.262183333,17,13.0469440810776
"19",19.2,17.80111112,40.26666667,86.86666667,2.439983333,18,14.6892217143358
"20",18.9,20.91033334,42.35555556,85.46666667,4.133714286,19,17.9617660589627
"21",16.1,14.46122223,51.88888889,81.93333333,2.857416667,20,11.0551127310579
"22",6.9,10.753,61.26666667,78.24444444,1.545133333,21,5.72306268866391
"23",15.5,19.62593024,56.8372093,78.3255814,6.712333333,22,15.2318457296018
"24",25.3,26.24122223,57.44444444,77.57777778,14.74546667,23,21.8113683225952
"25",19,23.632,58.11111111,77.82222222,8.931533333,0,17.6226310604734
"26",13.5,12.99644444,59.33333333,77.28888889,2.397516667,1,7.61864253202173
"27",11.6,13.85088889,62.04444444,77,4.508433333,2,10.326046187996
"28",16.2,17.41333333,63.04444444,76.4,7.45875,3,13.3881464655522
"29",15.8,15.684,63.35555556,76.02222222,6.393,4,12.1363694882702
"30",21.3,21.56755556,63.84444444,75.4,9.180785714,5,15.9284052410098
"31",18.6,30.70288889,66.13333333,75.17777778,9.4076,6,19.5564900705322
"32",26.7,38.52733333,64,77.02222222,12.24608333,7,27.5990823454207
"33",26.9,35.755,58.71111111,80.06666667,10.30358333,8,24.9756928388835
"34",20.6,24.26544445,49.08888889,85.08888889,7.40315,9,19.3279676533533
"35",16.5,13.18811111,41.17777778,89.66666667,3.813133333,10,13.0694317403462
"36",14.1,16.25344445,34.8,93,4.207866667,11,16.1307907719022
"37",16.6,15.83333333,31.71111111,94.93333333,4.469733333,12,16.7363068403908
"38",13.5,11.64188889,28.02222222,97.88888889,2.822964286,13,13.63698460035
"39",19.2,13.93411111,29.31111111,97.6,6.2294,14,17.5323052633819
"40",19,18.17022222,30.42222222,95.95555556,8.349316667,15,20.0854521228931
"41",17.1,15.02077778,28.93333333,96.66666667,4.6302,16,17.1286286433497
"42",21.1,15.11644445,30.26666667,95.31111111,3.933766667,17,16.1857861567955
"43",17.3,16.92488889,47.6,87.68888889,4.8571,18,14.4509205040141
"44",19,23.14155556,56.37777778,82.97777778,8.614666667,19,18.271315169429
"45",25.4,25.97544445,52.86666667,83,15.36135,20,23.5027049056765
"46",19.3,18.62266667,50.55555556,83,8.560232143,21,17.4223611855509
"47",15.7,18.33377778,53.84444444,81.97777778,9.457816667,22,17.2050588936673
"48",12.4,16.00177778,54.62222222,81,5.5867,23,14.0343981927308
"49",13.8,15.27511364,55.02272727,80.56818182,5.890316667,0,13.7233294129968
"50",19.1,15.86844444,56.42222222,79.71111111,7.158766667,1,14.0455649776444
"51",11.3,12.61311111,59.08888889,78.64444444,6.226583333,2,11.6640501520271
"52",15.2,12.59211111,60.84444444,78,6.972383333,3,11.5776046217992
"53",10.5,10.23711112,60.57777778,78.08888889,6.3589,4,10.3937768101908
"54",13.6,13.99144445,62.11111111,77.55555556,7.7355,5,12.2549865091415
"55",17.5,24.21722223,64.13333333,77.11111111,8.674053571,6,17.0816634896987
"56",21.7,29.986,63.06666667,78.04444444,8.80565,7,19.6728742114251
"57",21.7,28.78233334,58.86666667,80.02222222,9.69395,8,20.6775381850035
"58",23.7,23.24177778,49.42222222,85.4,7.148966667,9,18.6597738802501
"59",14,22.58411111,47.6,86.33333333,7.159933333,10,18.629916424023
"60",17.5,19.94966667,41.33333333,90.33333333,6.295433333,11,17.9945277217034
"61",13.1,15.37455556,38.64444444,91.46666667,5.92745,12,16.2893070243592
"62",15.4,16.29566667,35.13333333,94.24444444,5.57655,13,16.9026718330255
"63",20.7,15.20822223,31.71111111,96.2,6.688821429,14,17.610779391502
