"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"1",14.9,19.03644445,61.33333333,76.2,"0",14.4774465560913,14.5962924957275,14.2252674102783
"2",13.4,21.134,65.02222222,75.2,"1",15.3469543457031,15.8556976318359,15.4830837249756
"3",11.6,15.58111111,66.28888889,74.88888889,"2",12.0794343948364,12.096960067749,12.5215282440186
"4",11.9,15.59456522,67.10869565,73.97826087,"3",12.2780599594116,12.1369571685791,12.6682262420654
"5",11.1,15.67788889,67.08888889,74,"4",11.9804306030273,12.5895738601685,12.8054857254028
"6",13.7,17.30622223,66.88888889,74,"5",12.2157039642334,12.712574005127,12.6099977493286
"7",17.7,23.25777778,65.84444444,74,"6",16.2101020812988,14.8462419509888,14.5631246566772
"8",30.8,35.168,64.51111111,75.22222222,"7",22.5663204193115,20.0280704498291,23.336877822876
"9",12.8,22.62788889,59.2,78.73333333,"8",12.1069936752319,12.5463924407959,13.3843574523926
"10",12.1,11.48288889,50.57777778,83.37777778,"9",10.1597661972046,9.55289363861084,10.2110958099365
"11",11.8,11.94366667,43.2,87.82222222,"10",12.2072515487671,12.0093755722046,12.7428359985352
"12",9.4,11.94655556,39.37777778,90.11111111,"11",11.7586507797241,12.9746704101562,12.1168069839478
"13",14.1,11.48671875,35.96875,91.96875,"12",13.0747671127319,14.4988965988159,13.4210119247437
"14",40.2,37.72466667,32.66666667,94.2,"13",30.8619079589844,25.7664127349854,29.1417255401611
"15",20,17.80455556,32.93333333,93.57777778,"14",13.4345188140869,16.6470127105713,16.3711471557617
"16",15,13.66377778,42.17777778,87.66666667,"15",15.1197853088379,15.2133321762085,15.1372222900391
"17",13.9,11.975,40.04444444,87.4,"16",15.704647064209,16.6394309997559,16.0815849304199
"18",18.8,15.65433334,40.55555556,87.82222222,"17",19.0061454772949,18.5973892211914,19.1087284088135
"19",19.2,17.80111112,40.26666667,86.86666667,"18",18.6011524200439,19.6393127441406,19.5394668579102
"20",18.9,20.91033334,42.35555556,85.46666667,"19",20.8013134002686,22.2599334716797,19.9650592803955
"21",16.1,14.46122223,51.88888889,81.93333333,"20",14.753565788269,14.2951326370239,15.3408212661743
"22",6.9,10.753,61.26666667,78.24444444,"21",8.4908447265625,8.28537082672119,8.66878604888916
"23",15.5,19.62593024,56.8372093,78.3255814,"22",16.4556541442871,16.332103729248,16.9654979705811
"24",25.3,26.24122223,57.44444444,77.57777778,"23",16.855281829834,19.4185485839844,20.5976123809814
"25",19,23.632,58.11111111,77.82222222,"0",17.6379585266113,17.4515419006348,17.5630893707275
"26",13.5,12.99644444,59.33333333,77.28888889,"1",13.2140102386475,12.8416404724121,12.1617879867554
"27",11.6,13.85088889,62.04444444,77,"2",12.3382148742676,11.6255054473877,11.7516851425171
"28",16.2,17.41333333,63.04444444,76.4,"3",13.8296918869019,12.8483610153198,14.4525785446167
"29",15.8,15.684,63.35555556,76.02222222,"4",12.1682138442993,12.5221748352051,12.8164930343628
"30",21.3,21.56755556,63.84444444,75.4,"5",15.8909635543823,15.0232076644897,16.6903839111328
"31",18.6,30.70288889,66.13333333,75.17777778,"6",19.4732074737549,19.1011199951172,18.5933742523193
"32",26.7,38.52733333,64,77.02222222,"7",24.0461521148682,25.4214496612549,25.1539897918701
"33",26.9,35.755,58.71111111,80.06666667,"8",23.3952407836914,20.0593891143799,21.9379024505615
"34",20.6,24.26544445,49.08888889,85.08888889,"9",17.7388248443604,13.842095375061,15.6916875839233
"35",16.5,13.18811111,41.17777778,89.66666667,"10",13.6020889282227,13.9874048233032,13.5377168655396
"36",14.1,16.25344445,34.8,93,"11",14.8135147094727,14.2337617874146,13.5621089935303
"37",16.6,15.83333333,31.71111111,94.93333333,"12",14.2884559631348,13.1836471557617,14.6023626327515
"38",13.5,11.64188889,28.02222222,97.88888889,"13",11.4931640625,11.2597131729126,12.2664155960083
"39",19.2,13.93411111,29.31111111,97.6,"14",14.4193439483643,12.1048803329468,14.2955617904663
"40",19,18.17022222,30.42222222,95.95555556,"15",15.9913930892944,15.8593168258667,15.6244869232178
"41",17.1,15.02077778,28.93333333,96.66666667,"16",15.632719039917,15.7344350814819,16.2361812591553
"42",21.1,15.11644445,30.26666667,95.31111111,"17",17.2144432067871,16.3355102539062,16.9825496673584
"43",17.3,16.92488889,47.6,87.68888889,"18",17.946325302124,18.3948497772217,17.8321418762207
"44",19,23.14155556,56.37777778,82.97777778,"19",20.7585468292236,17.5174083709717,18.2916584014893
"45",25.4,25.97544445,52.86666667,83,"20",23.3694114685059,22.8744297027588,23.4550533294678
"46",19.3,18.62266667,50.55555556,83,"21",17.7849922180176,19.154317855835,18.850191116333
"47",15.7,18.33377778,53.84444444,81.97777778,"22",17.2257614135742,18.0158271789551,17.8858852386475
"48",12.4,16.00177778,54.62222222,81,"23",13.8382186889648,15.4881210327148,15.1261920928955
"49",13.8,15.27511364,55.02272727,80.56818182,"0",13.0179557800293,12.4415636062622,12.6725721359253
"50",19.1,15.86844444,56.42222222,79.71111111,"1",14.053337097168,13.5323581695557,15.294716835022
"51",11.3,12.61311111,59.08888889,78.64444444,"2",11.2523460388184,10.6924772262573,10.5983419418335
"52",15.2,12.59211111,60.84444444,78,"3",11.6908988952637,11.1730442047119,11.6936893463135
"53",10.5,10.23711112,60.57777778,78.08888889,"4",8.64514255523682,8.90902805328369,9.16021823883057
"54",13.6,13.99144445,62.11111111,77.55555556,"5",12.8165788650513,12.2850561141968,12.230655670166
"55",17.5,24.21722223,64.13333333,77.11111111,"6",15.9552030563354,17.3137493133545,16.7162895202637
"56",21.7,29.986,63.06666667,78.04444444,"7",18.8678321838379,16.1638946533203,18.2090473175049
"57",21.7,28.78233334,58.86666667,80.02222222,"8",18.8543853759766,17.7389488220215,18.9943084716797
"58",23.7,23.24177778,49.42222222,85.4,"9",17.3600025177002,15.2002210617065,15.6844892501831
"59",14,22.58411111,47.6,86.33333333,"10",16.5148220062256,15.2313461303711,15.4980936050415
"60",17.5,19.94966667,41.33333333,90.33333333,"11",16.6789627075195,14.9770555496216,16.5449905395508
"61",13.1,15.37455556,38.64444444,91.46666667,"12",13.4031829833984,13.9995498657227,13.7598686218262
"62",15.4,16.29566667,35.13333333,94.24444444,"13",15.2017011642456,14.8780488967896,14.9877576828003
"63",20.7,15.20822223,31.71111111,96.2,"14",14.4947824478149,14.3803052902222,15.2221069335938
"64",21.7,17.92111111,32.04444444,96.13333333,"15",16.0788497924805,16.8338108062744,17.4628372192383
"65",24.8,20.005,32.17777778,95.88888889,"16",21.1943473815918,18.8552188873291,20.1008567810059
"66",23.7,19.12022223,34.26666667,93.4,"17",20.3950519561768,19.8411960601807,19.8417930603027
"67",26.9,30.39622223,36.91111111,91.35555556,"18",24.933198928833,24.7107410430908,24.4320411682129
"68",22.4,25.33944445,40.88888889,88.88888889,"19",21.472225189209,23.3383865356445,21.9179725646973
"69",21.9,18.92688889,47.13333333,85.4,"20",20.4357376098633,20.4765377044678,20.9394607543945
"70",12.1,16.91133334,55.51111111,81.15555556,"21",16.9126682281494,16.3538131713867,15.8844747543335
"71",20.5,21.99188889,57.82222222,81.68888889,"22",19.8647060394287,20.4185791015625,20.7342414855957
"72",17.8,16.78611111,55.22222222,82.28888889,"23",16.1560935974121,15.7419967651367,16.2525291442871
"73",16.2,16.58966667,54.77777778,81.42222222,"0",16.0371894836426,16.4677543640137,15.7232837677002
"74",12.5,13.48188889,58.95555556,80.2,"1",11.6328191757202,11.4014358520508,11.2048568725586
"75",12.3,12.95066667,61.04444444,78.84444444,"2",10.9386901855469,11.6274967193604,11.1971549987793
"76",11.4,13.21277778,61.55555556,78.11111111,"3",10.9517230987549,10.2815818786621,11.0266180038452
"77",11.4,12.43930233,63.62790698,77.72093023,"4",10.3437433242798,10.5395154953003,10.5235319137573
"78",13.1,17.01207318,64.92682927,77,"5",13.1955595016479,13.3347501754761,13.5125427246094
"79",14.7,22.23033334,64.53333333,77.24444444,"6",14.4745950698853,14.8701152801514,15.0068941116333
