"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"1",14.9,19.03644445,61.33333333,76.2,"0",11.7381277084351,11.7974519729614,11.8487749099731
"2",13.4,21.13733333,65.02222222,75.2,"1",11.9338970184326,11.9737234115601,12.2753305435181
"3",11.6,15.58111111,66.28888889,74.88888889,"2",8.70445346832275,8.77921772003174,8.90820407867432
"4",11.9,15.59456522,67.10869565,73.97826087,"3",7.9002103805542,8.38972473144531,8.48385429382324
"5",11.1,15.67788889,67.08888889,74,"4",8.07711601257324,8.46006488800049,8.57757759094238
"6",13.7,17.30955556,66.88888889,74,"5",9.04762554168701,9.6456127166748,9.6826229095459
"7",17.7,23.30955556,65.84444444,74,"6",11.8121252059937,11.9269237518311,12.1235017776489
"8",30.8,39.21311112,64.51111111,75.22222222,"7",19.073221206665,19.1155853271484,18.9178009033203
"9",12.8,23.60955556,59.2,78.73333333,"8",11.5017976760864,12.0412378311157,11.99853515625
"10",12.1,11.48288889,50.57777778,83.37777778,"9",7.42109107971191,7.82673168182373,7.87075519561768
"11",11.8,11.94366667,43.2,87.82222222,"10",9.40422439575195,9.46381664276123,9.53328800201416
"12",9.4,11.94655556,39.37777778,90.11111111,"11",10.8252935409546,10.9135084152222,10.8484735488892
"13",14.1,11.48703125,35.96875,91.96875,"12",10.8084468841553,11.2293767929077,10.9497957229614
"14",40.2,51.57322222,32.66666667,94.2,"13",33.3712692260742,32.9959487915039,33.1074333190918
"15",20,18.87511111,32.93333333,93.57777778,"14",15.3666791915894,15.6185436248779,15.6689958572388
"16",15,13.85688889,42.17777778,87.66666667,"15",13.1318531036377,12.9813442230225,13.0720777511597
"17",13.9,11.98388889,40.04444444,87.4,"16",12.2767200469971,12.4169902801514,12.4131317138672
"18",18.8,15.65433334,40.55555556,87.82222222,"17",15.4051094055176,15.6474494934082,15.5493822097778
"19",19.2,17.80233334,40.26666667,86.86666667,"18",16.8939723968506,17.0561332702637,17.0503273010254
"20",18.9,20.91266667,42.35555556,85.46666667,"19",20.0563697814941,19.6681575775146,19.6247272491455
"21",16.1,14.502,51.88888889,81.93333333,"20",13.7089166641235,13.9876899719238,13.9871101379395
"22",6.9,10.753,61.26666667,78.24444444,"21",10.1643409729004,10.3451118469238,10.2547273635864
"23",15.5,19.73465116,56.8372093,78.3255814,"22",14.279504776001,14.200704574585,14.2447471618652
